DATA,ALCARIA (12L/04UG),,BARRAGEM DO COVÃO DE FERRO (12L/01U),,COVILHÃ (12L/03G),,SILVARES (13K/02UG),,SOBRAL DE SÃO MIGUEL (12K/01UG),,
,Precipitação diária máxima anual (mm),FLAG,Precipitação diária máxima anual (mm),FLAG,Precipitação diária máxima anual (mm),FLAG,Precipitação diária máxima anual (mm),FLAG,Precipitação diária máxima anual (mm),FLAG,
08/12/1932 09:00,,,,,,,78.2,,,,
06/10/1933 09:00,,,,,,,67,,,,
08/12/1934 09:00,,,,,,,44,,,,
17/02/1936 09:00,,,,,,,68.4,,,,
27/01/1937 09:00,,,,,,,95.8,,,,
06/12/1937 09:00,,,,,,,61,,,,
28/09/1939 09:00,,,,,,,98.2,,,,
30/10/1939 09:00,,,,,,,87.4,,,,
13/03/1940 09:00,,,,,62,,,,,,
17/11/1940 09:00,,,,,58,(vd),,,,,
23/01/1941 09:00,,,,,58,(vd),,,,,
09/11/1941 09:00,,,,,,,60.8,,,,
05/03/1942 09:00,,,,,65,,,,,,
29/10/1942 09:00,,,,,62.7,,,,,,
20/01/1943 09:00,,,,,,,128.8,,,,
03/04/1944 09:00,,,,,54.5,,,,,,
04/06/1944 09:00,,,,,,,99,,,,
31/10/1944 09:00,,,,,56.5,,,,,,
02/11/1944 09:00,,,,,,,32.2,,,,
18/12/1945 09:00,,,,,,,63,,,,
19/12/1945 09:00,,,,,63.5,,,,,,
17/10/1946 09:00,,,,,,,95,,,,
04/03/1947 09:00,,,,,94.4,,,,,,
29/01/1948 09:00,,,,,85.6,,,,,,
25/02/1948 09:00,,,,,,,104,,,,
12/12/1948 09:00,,,,,74,,,,,,
12/09/1949 09:00,,,,,,,95,,,,
02/12/1949 09:00,,,,,121.7,,,,,,
20/05/1950 09:00,,,,,,,100,,,,
22/09/1951 09:00,,,,,,,90.6,,,,
23/09/1951 09:00,,,,,70.2,,,,,,
05/11/1951 09:00,,,,,151,,,,,,
13/09/1952 09:00,,,,,,,100.2,,,,
26/11/1952 09:00,,,,,,,100.8,,,,
25/01/1953 09:00,,,,,116.9,,,,,,
11/10/1953 09:00,,,,,89.8,,,,,,
09/12/1953 09:00,,,,,,,108,,,,
22/03/1955 09:00,,,,,,,72,,,,
23/05/1955 09:00,,,,,61,,,,,,
03/11/1955 09:00,,,,,112,,,,,,
08/08/1956 09:00,,,,,,,100.8,,,,
